"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Kootenai County, ID"	"16055"	10	121002	8.3 (Unreliable)
	"Champaign County, IL"	"17019"	21	188617	11.1
	"Cook County, IL"	"17031"	501	5252021	9.5
	"DuPage County, IL"	"17043"	54	913940	5.9
	"Kane County, IL"	"17089"	26	466884	5.6
	"Kankakee County, IL"	"17091"	11	106744	10.3 (Unreliable)
	"Lake County, IL"	"17097"	56	677735	8.3
	"LaSalle County, IL"	"17099"	14	112135	12.5 (Unreliable)
	"McHenry County, IL"	"17111"	21	287997	7.3
	"Madison County, IL"	"17119"	32	263722	12.1
	"Peoria County, IL"	"17143"	12	182613	6.6 (Unreliable)
	"St. Clair County, IL"	"17163"	15	260214	5.8 (Unreliable)
	"Sangamon County, IL"	"17167"	12	191885	6.3 (Unreliable)
	"Tazewell County, IL"	"17179"	14	129656	10.8 (Unreliable)
	"Will County, IL"	"17197"	46	605934	7.6
	"Winnebago County, IL"	"17201"	38	284337	13.4
	"Allen County, IN"	"18003"	28	340916	8.2
	"Bartholomew County, IN"	"18005"	11	72882	15.1 (Unreliable)
	"Clark County, IN"	"18019"	12	100435	11.9 (Unreliable)
	"Delaware County, IN"	"18035"	15	118938	12.6 (Unreliable)
	"Elkhart County, IN"	"18039"	13	189316	6.9 (Unreliable)
	"Henry County, IN"	"18065"	10	48184	20.8 (Unreliable)
	"Howard County, IN"	"18067"	13	84291	15.4 (Unreliable)
	"Johnson County, IN"	"18081"	12	124192	9.7 (Unreliable)
	"Lake County, IN"	"18089"	21	487405	4.3
	"La Porte County, IN"	"18091"	10	108914	9.2 (Unreliable)
	"Madison County, IN"	"18095"	25	131366	19.0
	"Marion County, IN"	"18097"	92	870378	10.6
	"Monroe County, IN"	"18105"	15	126359	11.9 (Unreliable)
	"St. Joseph County, IN"	"18141"	16	264541	6.0 (Unreliable)
	"Tippecanoe County, IN"	"18157"	12	155832	7.7 (Unreliable)
	"Vanderburgh County, IN"	"18163"	20	175113	11.4
	"Linn County, IA"	"19113"	17	198314	8.6 (Unreliable)
	"Polk County, IA"	"19153"	24	392164	6.1
	"Scott County, IA"	"19163"	10	158145	6.3 (Unreliable)
	"Johnson County, KS"	"20091"	31	495396	6.3
	"Sedgwick County, KS"	"20173"	60	464021	12.9
	"Shawnee County, KS"	"20177"	27	171378	15.8
	"Wyandotte County, KS"	"20209"	18	154874	11.6 (Unreliable)
	"Bell County, KY"	"21013"	15	29275	51.2 (Unreliable)
	"Campbell County, KY"	"21037"	13	87982	14.8 (Unreliable)
	"Clay County, KY"	"21051"	10	23278	43.0 (Unreliable)
	"Fayette County, KY"	"21067"	39	272377	14.3
	"Floyd County, KY"	"21071"	14	41128	34.0 (Unreliable)
	"Greenup County, KY"	"21089"	10	36579	27.3 (Unreliable)
	"Jefferson County, KY"	"21111"	74	706828	10.5
	"Kenton County, KY"	"21117"	19	153138	12.4 (Unreliable)
	"Laurel County, KY"	"21125"	10	55811	17.9 (Unreliable)
	"Perry County, KY"	"21193"	12	29043	41.3 (Unreliable)
	"Pike County, KY"	"21195"	12	66070	18.2 (Unreliable)
	"Bossier Parish, LA"	"22015"	12	105435	11.4 (Unreliable)
	"Caddo Parish, LA"	"22017"	39	249157	15.7
	"Calcasieu Parish, LA"	"22019"	27	185593	14.5
	"East Baton Rouge Parish, LA"	"22033"	21	414162	5.1
	"Evangeline Parish, LA"	"22039"	10	34399	29.1 (Unreliable)
	"Jefferson Parish, LA"	"22051"	101	456602	22.1
	"Lafayette Parish, LA"	"22055"	26	199338	13.0
	"Lafourche Parish, LA"	"22057"	11	92580	11.9 (Unreliable)
	"Livingston Parish, LA"	"22063"	18	106048	17.0 (Unreliable)
	"Orleans Parish, LA"	"22071"	23	493765	4.7
	"St. Bernard Parish, LA"	"22087"	22	70547	31.2
	"St. Charles Parish, LA"	"22089"	12	49939	24.0 (Unreliable)
	"St. Mary Parish, LA"	"22101"	10	53288	18.8 (Unreliable)
	"St. Tammany Parish, LA"	"22103"	49	211405	23.2
	"Tangipahoa Parish, LA"	"22105"	18	105335	17.1 (Unreliable)
	"Terrebonne Parish, LA"	"22109"	17	106783	15.9 (Unreliable)
