"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Suffolk County, MA"	"25025"	108	701333	15.4
	"Worcester County, MA"	"25027"	104	768490	13.5
	"Calhoun County, MI"	"26025"	27	138580	19.5
	"Genesee County, MI"	"26049"	41	440062	9.3
	"Grand Traverse County, MI"	"26055"	10	81013	12.3 (Unreliable)
	"Ingham County, MI"	"26065"	18	282030	6.4 (Unreliable)
	"Kalamazoo County, MI"	"26077"	19	241937	7.9 (Unreliable)
	"Kent County, MI"	"26081"	29	584940	5.0
	"Livingston County, MI"	"26093"	14	167833	8.3 (Unreliable)
	"Macomb County, MI"	"26099"	72	808457	8.9
	"Muskegon County, MI"	"26121"	13	171563	7.6 (Unreliable)
	"Oakland County, MI"	"26125"	76	1198889	6.3
	"Ottawa County, MI"	"26139"	16	246637	6.5 (Unreliable)
	"Saginaw County, MI"	"26145"	17	209323	8.1 (Unreliable)
	"St. Clair County, MI"	"26147"	18	166086	10.8 (Unreliable)
	"Washtenaw County, MI"	"26161"	13	332763	3.9 (Unreliable)
	"Wayne County, MI"	"26163"	203	2025133	10.0
	"Anoka County, MN"	"27003"	10	308702	3.2 (Unreliable)
	"Dakota County, MN"	"27037"	10	368252	2.7 (Unreliable)
	"Hennepin County, MN"	"27053"	68	1120730	6.1
	"Ramsey County, MN"	"27123"	39	510581	7.6
	"Hancock County, MS"	"28045"	11	45058	24.4 (Unreliable)
	"Harrison County, MS"	"28047"	39	192145	20.3
	"Jackson County, MS"	"28059"	23	133688	17.2
	"Clay County, MO"	"29047"	16	190959	8.4 (Unreliable)
	"Greene County, MO"	"29077"	35	245822	14.2
	"Jackson County, MO"	"29095"	60	658765	9.1
	"Jefferson County, MO"	"29099"	13	202477	6.4 (Unreliable)
	"St. Charles County, MO"	"29183"	25	303224	8.2
	"St. Louis County, MO"	"29189"	72	1014359	7.1
	"St. Louis city, MO"	"29510"	47	338457	13.9
	"Flathead County, MT"	"30029"	10	77583	12.9 (Unreliable)
	"Missoula County, MT"	"30063"	11	98968	11.1 (Unreliable)
	"Yellowstone County, MT"	"30111"	14	132165	10.6 (Unreliable)
	"Douglas County, NE"	"31055"	23	471866	4.9
	"Lancaster County, NE"	"31109"	19	258398	7.4 (Unreliable)
	"Clark County, NV"	"32003"	245	1522962	16.1
	"Washoe County, NV"	"32031"	49	362374	13.5
	"Grafton County, NH"	"33009"	11	83152	13.2 (Unreliable)
	"Hillsborough County, NH"	"33011"	37	389665	9.5
	"Merrimack County, NH"	"33013"	14	140880	9.9 (Unreliable)
	"Rockingham County, NH"	"33015"	12	286218	4.2 (Unreliable)
	"Strafford County, NH"	"33017"	10	115811	8.6 (Unreliable)
	"Atlantic County, NJ"	"34001"	24	259263	9.3
	"Bergen County, NJ"	"34003"	62	890647	7.0
	"Burlington County, NJ"	"34005"	28	436445	6.4
	"Camden County, NJ"	"34007"	66	507899	13.0
	"Cumberland County, NJ"	"34011"	12	147294	8.1 (Unreliable)
	"Essex County, NJ"	"34013"	128	795625	16.1
	"Gloucester County, NJ"	"34015"	42	262909	16.0
	"Hudson County, NJ"	"34017"	70	615554	11.4
	"Mercer County, NJ"	"34021"	21	355935	5.9
	"Middlesex County, NJ"	"34023"	58	769280	7.5
	"Monmouth County, NJ"	"34025"	51	624532	8.2
	"Morris County, NJ"	"34027"	36	477234	7.5
	"Ocean County, NJ"	"34029"	54	536069	10.1
	"Passaic County, NJ"	"34031"	56	494571	11.3
	"Somerset County, NJ"	"34035"	27	305255	8.8
	"Sussex County, NJ"	"34037"	14	147712	9.5 (Unreliable)
	"Union County, NJ"	"34039"	40	527625	7.6
	"Bernalillo County, NM"	"35001"	136	576532	23.6
	"Chaves County, NM"	"35005"	10	60768	16.5 (Unreliable)
	"Dona Ana County, NM"	"35013"	13	178464	7.3 (Unreliable)
	"Rio Arriba County, NM"	"35039"	22	40717	54.0
	"Santa Fe County, NM"	"35049"	24	133555	18.0
	"Valencia County, NM"	"35061"	12	68401	17.5 (Unreliable)
	"Albany County, NY"	"36001"	10	298283	3.4 (Unreliable)
	"Bronx County, NY"	"36005"	130	1358739	9.6
	"Kings County, NY"	"36047"	207	2480559	8.3
	"Monroe County, NY"	"36055"	12	741391	1.6 (Unreliable)
	"Nassau County, NY"	"36059"	24	1339572	1.8
	"New York County, NY"	"36061"	183	1555382	11.8
	"Queens County, NY"	"36081"	143	2224507	6.4
	"Richmond County, NY"	"36085"	48	452813	10.6
	"Suffolk County, NY"	"36103"	32	1456745	2.2
	"Westchester County, NY"	"36119"	18	935219	1.9 (Unreliable)
	"Brunswick County, NC"	"37019"	11	78296	14.0 (Unreliable)
	"Buncombe County, NC"	"37021"	27	211841	12.7
	"Burke County, NC"	"37023"	15	89371	16.8 (Unreliable)
	"Cabarrus County, NC"	"37025"	11	140054	7.9 (Unreliable)
	"Catawba County, NC"	"37035"	11	145343	7.6 (Unreliable)
	"Cumberland County, NC"	"37051"	15	305697	4.9 (Unreliable)
	"Davidson County, NC"	"37057"	17	151296	11.2 (Unreliable)
	"Durham County, NC"	"37063"	18	233505	7.7 (Unreliable)
	"Forsyth County, NC"	"37067"	33	314215	10.5
	"Gaston County, NC"	"37071"	32	191930	16.7
	"Guilford County, NC"	"37081"	29	432068	6.7
	"Haywood County, NC"	"37087"	12	55387	21.7 (Unreliable)
	"Iredell County, NC"	"37097"	11	130352	8.4 (Unreliable)
	"Mecklenburg County, NC"	"37119"	40	736422	5.4
	"New Hanover County, NC"	"37129"	19	168147	11.3 (Unreliable)
	"Onslow County, NC"	"37133"	10	153397	6.5 (Unreliable)
	"Rowan County, NC"	"37159"	22	132765	16.6
	"Rutherford County, NC"	"37161"	10	63924	15.6 (Unreliable)
	"Wake County, NC"	"37183"	35	676392	5.2
	"Wayne County, NC"	"37191"	10	114305	8.7 (Unreliable)
	"Butler County, OH"	"39017"	23	339514	6.8
	"Clermont County, OH"	"39025"	15	182143	8.2 (Unreliable)
	"Columbiana County, OH"	"39029"	10	111097	9.0 (Unreliable)
	"Cuyahoga County, OH"	"39035"	123	1371493	9.0
	"Franklin County, OH"	"39049"	97	1088693	8.9
	"Geauga County, OH"	"39055"	12	91970	13.0 (Unreliable)
	"Greene County, OH"	"39057"	18	151537	11.9 (Unreliable)
	"Hamilton County, OH"	"39061"	80	832390	9.6
	"Lake County, OH"	"39085"	13	227747	5.7 (Unreliable)
	"Licking County, OH"	"39089"	10	150061	6.7 (Unreliable)
	"Lorain County, OH"	"39093"	16	287489	5.6 (Unreliable)
	"Lucas County, OH"	"39095"	42	454240	9.2
	"Mahoning County, OH"	"39099"	15	252998	5.9 (Unreliable)
	"Miami County, OH"	"39109"	11	99579	11.0 (Unreliable)
	"Montgomery County, OH"	"39113"	119	553170	21.5
	"Portage County, OH"	"39133"	14	154667	9.1 (Unreliable)
	"Scioto County, OH"	"39145"	13	78652	16.5 (Unreliable)
	"Stark County, OH"	"39151"	18	376867	4.8 (Unreliable)
	"Summit County, OH"	"39153"	59	544866	10.8
	"Trumbull County, OH"	"39155"	30	222484	13.5
	"Warren County, OH"	"39165"	13	174833	7.4 (Unreliable)
	"Cleveland County, OK"	"40027"	11	217235	5.1 (Unreliable)
	"Oklahoma County, OK"	"40109"	45	671120	6.7
	"Tulsa County, OK"	"40143"	56	569170	9.8
	"Clackamas County, OR"	"41005"	22	348951	6.3
	"Douglas County, OR"	"41019"	10	101529	9.8 (Unreliable)
	"Jackson County, OR"	"41029"	14	186704	7.5 (Unreliable)
	"Lane County, OR"	"41039"	30	327506	9.2
	"Lincoln County, OR"	"41041"	12	44270	27.1 (Unreliable)
	"Marion County, OR"	"41047"	24	292533	8.2
	"Multnomah County, OR"	"41051"	98	676653	14.5
	"Washington County, OR"	"41067"	26	468549	5.5
	"Allegheny County, PA"	"42003"	142	1265577	11.2
	"Beaver County, PA"	"42007"	20	178277	11.2
	"Berks County, PA"	"42011"	26	381338	6.8
	"Blair County, PA"	"42013"	11	127631	8.6 (Unreliable)
	"Bucks County, PA"	"42017"	39	607157	6.4
	"Butler County, PA"	"42019"	16	177146	9.0 (Unreliable)
	"Cambria County, PA"	"42021"	15	149831	10.0 (Unreliable)
	"Chester County, PA"	"42029"	23	447842	5.1
	"Dauphin County, PA"	"42043"	17	254339	6.7 (Unreliable)
	"Delaware County, PA"	"42045"	57	551929	10.3
	"Erie County, PA"	"42049"	16	280379	5.7 (Unreliable)
	"Lackawanna County, PA"	"42069"	31	211980	14.6
	"Lancaster County, PA"	"42071"	24	480118	5.0
	"Lehigh County, PA"	"42077"	16	317252	5.0 (Unreliable)
	"Luzerne County, PA"	"42079"	42	315711	13.3
	"Mercer County, PA"	"42085"	15	119476	12.6 (Unreliable)
	"Montgomery County, PA"	"42091"	43	766056	5.6
	"Northampton County, PA"	"42095"	17	272782	6.2 (Unreliable)
	"Philadelphia County, PA"	"42101"	293	1498493	19.6
	"Schuylkill County, PA"	"42107"	14	148705	9.4 (Unreliable)
	"Washington County, PA"	"42125"	22	203104	10.8
	"Westmoreland County, PA"	"42129"	26	367680	7.1
	"York County, PA"	"42133"	15	389692	3.8 (Unreliable)
	"Kent County, RI"	"44003"	14	169478	8.3 (Unreliable)
	"Providence County, RI"	"44007"	64	632252	10.1
	"Washington County, RI"	"44009"	10	126462	7.9 (Unreliable)
	"Aiken County, SC"	"45003"	17	145226	11.7 (Unreliable)
	"Anderson County, SC"	"45007"	19	170287	11.2 (Unreliable)
	"Charleston County, SC"	"45019"	16	317379	5.0 (Unreliable)
	"Greenville County, SC"	"45045"	33	390197	8.5
	"Horry County, SC"	"45051"	14	206566	6.8 (Unreliable)
	"Lexington County, SC"	"45063"	15	222761	6.7 (Unreliable)
	"Richland County, SC"	"45079"	10	331285	3.0 (Unreliable)
	"Spartanburg County, SC"	"45083"	15	258467	5.8 (Unreliable)
	"York County, SC"	"45091"	11	173021	6.4 (Unreliable)
	"Anderson County, TN"	"47001"	10	71515	14.0 (Unreliable)
	"Blount County, TN"	"47009"	11	109515	10.0 (Unreliable)
	"Davidson County, TN"	"47037"	63	574215	11.0
	"Hamilton County, TN"	"47065"	21	311890	6.7
